Gender,Race,HomeTwn,Live,Greek?,Parents,GPA,SkipCl,TextSpd,SitArea,HrsStudy,FornTeach,HrsCompu,PayEduc,GetEduc,HrsWork,HubFood,Relimport,ReadBibl,RelPref,God?,Weight,Height,IdlWt,IdlHt,ViewWt,Handed,LongFing,EyeSight,SelfAttr,ShoeSize,LooksImp,MakeFrnds,DateRace,InstMsgr,PeopKiss,DatePerly,AgeDiff,FutSpous,HowComm,DateSpnd,LongRels,UseFaceBk,AgeMarry,CDsOwn,Parties,CellPhn,MinTalk,FavMusic,EntrPref,CDsBurnd,OwnIPod,MP3Playr,MovyGenr,Book_Movy,SpendTVA,HrsExer,SmokeCig,HrsSleep,Abortion,ExerPref,WtTry,FastDrvn,SameSex,IceTerm,CitedOff,DrvnInfl,BevPref,DaysAlco,SmokedMj,Ecstasy,LegalMj?,DrnksUsl,SpndAlco,DrvnDrnk,DrnkIntox,DrnkPref,Shroomed,LiteBeer,Cocaine?,MjBrowny,MostBeer,RolldMj?,Age1stDrk,BushJob,AttkIraq,PolAffln,JoepaQuit,TVSport,HSSports,Virgin,SexNoRel,SexB4Mar,CheatdSO,CheatTel,SexPartns,DatesB4Sex,AgeLostIt,Sex/Week,SameSex_1,UseProtn,HrsPorn,MinDatesB4,OKSameSex,Speed-Dating,SexUnsure,PreMarSex
male,Caucasian,Suburban,Dorm,No,Married,3.3,5,450,Middle,7,Yes,3,Parents,Yes,None,Reasonable,Fairly,Once in a while,Other,Yes,200,71,180,73,overweight,left,ring,neither,Yes,6,18,same_gender,No,3,More than 25,No,0-2 years younger,If it happens,Face to face,40,3,Yes,25,27,10,Yes,100,Rap/Hip Hop,Video Games,1,Other,Have an iPod,Comedy,Movie,1-3,7,No,8,No,Alone,Lose,100,"No never",Italian,4,Yes,Water,17,Yes,No,No,9 or more,More than $50,3,12,Liquor,No,Miller,Yes,No,20,Yes,13,Approve,Yes,Republican,No,Football,Yes,No,Yes,Yes,Yes,No,4,5,17,Not active,No,Yes,None,First ,No,no opinion,No,No
female,Other,Suburban,Dorm,No,Married,2.2,3,250,Middle,14,No,2,Parents,Yes,None,Too expensive,Not,Never,Agnostic,Not sure,175,61,125,65,overweight,right,index,near-sighted,Don't know,3,13,opposite_gender,Yes,2,6-10,Yes,3-4 years younger,If it happens,Face to face,75,2,Yes,24,50,1,Yes,240,Other,Music,30,iPod Mini,Have an iPod,Comedy,Movie,1-3,7,No,6,Yes,Alone,Lose,90,"No never",Italian,0,No,Water,0,No,No,No,0,0-$10,0,4,Liquor,No,Don't drink lite,No,No,2,No,16,Disapprove,No,Democrat,No,Football,No,No,No,No,No,Yes,1,15,17,2-3,Yes,No,None,Tenth or later,Yes,no opinion,No,Yes
male,Hispanic,A big city,Apartment,No,Divorced,.,3,300,Back,5,No,5,Parents,No,None,Reasonable,Not,Never,Agnostic,No,200,74,185,74,overweight,right,same,neither,Yes,8,20,same_gender,Yes,.,More than 25,No,5-10 years younger,Not important,Face to face,150,4,Yes,35,300,4,Yes,70,Rap/Hip Hop,Movies,20,iPod Mini,Have a Creative Jukebox,Action,Movie,4-6,.,No,8,Yes,Alone,Lose,112,"No never",Italian,6,Yes,Water,29,Yes,Yes,Yes,5_6,More than $50,.,5,Liquor,Yes,Miller,Yes,Yes,16,Yes,13,Disapprove,Yes,Other,No,Other,Yes,No,Yes,No,Yes,Yes,24,1,16,6-7,No,No,None,First ,Yes,no opinion,No,Yes
male,Caucasian,Suburban,Dorm,Yes,Married,3.47,1,200,Middle,5,No,2,Scholar/Parents ,Yes,None,Too expensive,Fairly,Never,Catholic,Yes,155,71,150,75,about_right,left,ring,neither,Yes,6,17,no_preference,No,1,6-10,No,5-10 years younger,If it happens,Face to face,15,0,Yes,25,.,10,Yes,20,Rock,Music,60,iPod,Have an iPod,Action,Movie,None,6,No,7,Yes,Alone,Stay the same,105,"No never",Italian,0,No,Soda,20,Yes,No,Yes,7_8,$30-$50,2,8,Beer,No,Coors,No,Yes,11,Yes,10,Approve,Yes,Democrat,No,Football,Yes,No,Yes,No,No,No,4,1,18,Once,No,Yes,0-2 hours,First ,Yes,no opinion,No,Yes
female,Caucasian,Suburban,Apartment,No,Married,3.92,1,400,Middle,10,Yes,5,Scholar/Parents ,Yes,None,Too expensive,Not,Never,Agnostic,No,130,63,120,67,overweight,right,ring,near-sighted,Yes,5,10,opposite_gender,Yes,8,More than 25,Yes,5-10 years younger,Not important,Face to face,30,1,Yes,30,60,12,Yes,190,Rock,Movies,50,iPod Mini,Have an iPod,Drama,Movie,1-3,6,Yes,6,Yes,With company,Lose,100,"No never",Water,2,Yes,Water,12,Yes,No,Yes,7_8,More than $50,1,6,Wine,No,Miller,Yes,Yes,13,Yes,12,Disapprove,No,Democrat,Yes,Football,Yes,No,Yes,No,Yes,Yes,10,2,15,2-3,Yes,No,None,First ,Yes,no opinion,Yes,Yes
male,Caucasian,Rural,Dorm,No,Married,3.5,0,500,Middle,0,Yes,6,Scholar/Me ,Yes,None,Too expensive,Not,Never,Protestant,Yes,235,74,250,74,about_right,right,ring,neither,Yes,10,12,opposite_gender,Yes,1,11-25,Yes,0-2 years younger,If it happens,Face to face,50,4,Yes,30,12,10,Yes,120,Other,Video Games,300,No,Don't own one,Comedy,Book,4-6,6,No,4,Yes,Alone,Gain,110,"No never",Italian,0,No,Soda,10,Yes,No,Yes,9 or more,$30-$50,0,10,Beer,No,Coors,No,No,25,Yes,5,Disapprove,No,Democrat,No,Football,Yes,No,Yes,No,No,Yes,6,1,15,4-5,No,Yes,0-2 hours,First ,Yes,no opinion,No,Yes
male,Asian,A big city,Dorm,No,Married,2.8,3,500,Middle,5,No,6,Parents,Yes,None,Too expensive,Not,Never,Atheist,Not sure,195,70,180,73,overweight,left,ring,far-sighted,Don't know,7,18,same_gender,Yes,3,6-10,Yes,5-10 years older,Not important,Face to face,30,2,Yes,30,100,2,Yes,20,Rock,Movies,200,No,Other,Action,Movie,1-3,5,No,6,Yes,With company,Lose,.,"No never",Water,0,No,Water,0,No,No,Yes,5_6,0-$10,0,10,Liquor,No,Bud,No,No,20,Yes,9,Disapprove,No,Other,No,Basketball,Yes,No,Yes,No,No,No,5,6,14,Not active,No,No,None,Tenth or later,No,bad idea,No,No
female,Hispanic,A small town,Dorm,Yes,Married,3.27,2,120,Front,10,Yes,4,Scholar/Parents ,Yes,11-20,Too expensive,Fairly,Never,Catholic,Yes,182,66,130,69,overweight,right,index,near-sighted,Don't know,6,10,same_gender,No,3,6-10,Yes,2-4 years older,If it happens,Face to face,50,0,Yes,27,45,8,Yes,55,Rap/Hip Hop,Movies,40,No,Don't own one,Comedy,Movie,1-3,5,Yes,7,No,With company,Lose,100,"No never",Italian,0,Yes,Water,8,Yes,No,No,5_6,0-$10,0,10,Liquor,No,Miller,No,No,12,No,15,Disapprove,No,Democrat,No,Football,Yes,Yes,No,No,No,n/r,0,12,0,Not active,No,Not active,None,Not sexually active,Yes,no opinion,No,Yes
male,Caucasian,A small town,Dorm,No,Married,3,0,400,Middle,25,Yes,2,Parents,Yes,None,Reasonable,Very,Daily,Protestant,Yes,215,75,200,75,overweight,right,ring,neither,Don't know,9,17,no_preference,No,3,1-5,No,3-4 years younger,If it happens,Face to face,100,1,No,24,60,0,Yes,50,Rock,Sports,10,iPod Mini,Have an iPod,Comedy,Movie,1-3,10,No,7,No,With company,Lose,110,"No never",Italian,0,No,Water,0,No,No,No,0,0-$10,0,0,Beer,No,Don't drink lite,No,No,0,No,0,Approve,Yes,Republican,No,Football,Yes,Yes,No,Yes,No,Yes,0,.,0,Not active,No,Not active,None,Not sexually active,No,bad idea,No,No
male,Asian,A big city,Dorm,No,Married,.,0,350,Back,16,No,7,Parents,Yes,None,Not too expensive,Not,Never,Catholic,Not sure,180,73,186,73,about_right,left,ring,neither,Yes,8,16,opposite_gender,Yes,7,More than 25,Yes,5-10 years older,If it happens,Email/IM,60,7,Yes,30,70,5,Yes,45,Other,Movies,125,iPod,Have an iPod,Other,Movie,1-3,7,Yes,8,Yes,Alone,Gain,120,"No never",Italian,0,Yes,Alcohol,12,No,Yes,Yes,3_4,$30-$50,7,10,Liquor,No,Don't drink lite,No,Yes,17,Yes,8,Disapprove,No,Other,No,Don't watch sports,Yes,No,Yes,Yes,Yes,Yes,7,2,17,2-3,No,Yes,None,Second,No,no opinion,No,Yes
